"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints10","timepoints11","timepoints12","timepoints13"
"TCF21",-0.454318091331663,-0.392800706676494,-0.326036604835074,-0.429300075078603,-0.497612946230266,-0.399708452735403,-0.211518063395921,-0.479799869759094,-0.347604955745301,-0.497612946230266,-0.452131568130922
"TCHH",-0.0787734490036064,0.00549734309000185,-0.11071780408337,-0.0899982965264391,-0.11071780408337,-0.11071780408337,-0.11071780408337,-0.11071780408337,-0.11071780408337,-0.11071780408337,-0.11071780408337
"TCL1A",-0.0455834617000518,-0.0455834617000518,-0.0455834617000518,-0.0455834617000518,-0.0455834617000518,-0.0455834617000518,-0.0455834617000518,0.665161843774678,-0.0455834617000518,-0.0455834617000518,-0.0455834617000518
"TDGF1",-0.0786635097159782,0.0671298190415842,-0.0786635097159782,0.181885837442629,-0.0786635097159782,-0.0786635097159782,-0.0786635097159782,2.44100236771302,-0.0786635097159782,-0.0786635097159782,-0.0786635097159782
"TDO2",-0.151541518631452,-0.141204839260652,-0.123482278561654,-0.110100276265525,-0.151541518631452,-0.151541518631452,-0.151541518631452,0.224309507927084,-0.151541518631452,-0.151541518631452,-0.151541518631452
"TDRD12",-0.0445293223279072,-0.0445293223279072,-0.0445293223279072,-0.0445293223279072,-0.0445293223279072,-0.0445293223279072,-0.0445293223279072,0.924242925054516,1.00625181575171,-0.0445293223279072,-0.0445293223279072
"TDRD9",-0.413573450061601,0.324531772516525,-0.0902404579842444,0.129982282504512,-0.172412159714049,0.225189229060373,0.742644448169313,0.313778070045665,-0.517949136760583,-0.393245361925682,-0.239514637660158
"TERT",-0.0523507853888054,-0.0523507853888054,0.243306590652042,-0.0523507853888054,-0.0523507853888054,-0.0523507853888054,-0.0523507853888054,-0.0523507853888054,-0.0523507853888054,-0.0523507853888054,-0.0523507853888054
"TESPA1",-0.0880053567062525,-0.0880053567062525,-0.0336777362225743,-0.0880053567062525,-0.0880053567062525,-0.0880053567062525,-0.0880053567062525,0.577032577171801,0.29273115292744,1.20533284179909,-0.0880053567062525
"TEX14",-0.146442453702608,-0.0598751827941711,-0.0451551909797225,-0.146442453702608,0.033946023520994,-0.146442453702608,-0.146442453702608,0.775401856173738,-0.146442453702608,-0.146442453702608,0.452014705857425
"TEX15",-0.0939810845210883,0.2693053005263,-0.0939810845210883,-0.0939810845210883,-0.0939810845210883,-0.0939810845210883,-0.0939810845210883,1.18212873332472,-0.0939810845210883,-0.0939810845210883,-0.0939810845210883
"F3",-0.115932617959697,-0.115932617959697,0.00915034179295296,-0.0482116722383528,-0.115932617959697,-0.115932617959697,-0.115932617959697,-0.115932617959697,-0.115932617959697,-0.115932617959697,-0.115932617959697
"TFAP2B",-0.404372482387206,-0.405354781062568,0.178688857338066,-0.35950162487471,-0.410320355247504,-0.410320355247504,-0.410320355247504,0.0218352282185487,-0.228309542321855,-0.410320355247504,-0.410320355247504
"TFAP2D",-0.0379291894342606,-0.0379291894342606,0.157057574920037,-0.0379291894342606,-0.0379291894342606,-0.0379291894342606,-0.0379291894342606,-0.0379291894342606,-0.0379291894342606,-0.0379291894342606,-0.0379291894342606
"TFF3",-0.121271629013987,-0.121271629013987,0.0228669758811783,-0.096837885738363,-0.121271629013987,-0.121271629013987,-0.121271629013987,-0.121271629013987,-0.121271629013987,-0.121271629013987,-0.121271629013987
"TFPI",-0.466696459508289,-0.451735363342751,-0.416687111898265,-0.35935104177839,-0.526580945505738,-0.408009557347535,-0.335546302313931,-0.0951458791196629,-0.382694846473437,-0.529792997342636,-0.45502991398217
"TFPI2",0.623793025932509,1.3769393596587,1.15657755872314,0.249687415613923,1.36889363099589,0.596005676002153,-0.319132875197037,0.223460592864838,-0.319132875197037,-0.319132875197037,0.605513132967117
"TFRC",-0.524897818512289,-0.280113348717659,-0.0987341722751432,-0.260865914093506,-0.455891891766271,-0.207411134877087,-0.295996682696799,0.269457163759619,-0.271515556721252,0.0585373909159127,0.0189021487091003
"TG",-0.0573444063194329,-0.0573444063194329,-0.0573444063194329,-0.0573444063194329,-0.0573444063194329,-0.0573444063194329,-0.0573444063194329,2.45699169526043,-0.0573444063194329,-0.0573444063194329,-0.0573444063194329
"TGFBI",-0.62241411042254,-0.597673807046857,-0.529200932177192,-0.521576786223195,-0.713505950031236,-0.537757792316822,-0.261861055730848,-0.697564336413617,-0.40141862062026,-0.743468172608941,-0.606421821649259
"TGFBR3L",-0.54958462297687,-0.531267109872288,-0.471883755085967,-0.211810966595942,-0.507941179675523,-0.533343571877461,0.509453296136917,-0.320238265626825,-0.336337195003182,0.0987238378526157,-0.462122972522644
"TGM2",-0.613512325580607,-0.543445868652584,-0.454583862345434,-0.492805772115236,-0.623145585746283,-0.575041841646122,-0.187031831796281,-0.53900475841016,-0.450393527059693,-0.289005812600993,-0.321177569864081
"THBD",-0.229328189450213,-0.20699494112959,-0.15754714630494,-0.187025347092608,-0.216509255823649,-0.229328189450213,-0.229328189450213,0.00914056707108893,-0.229328189450213,-0.229328189450213,-0.169841394487508
"THBS2",-0.247859531920553,-0.0896565046768047,-0.136732596460626,-0.119434306508865,-0.16140148059701,-0.247859531920553,0.1450760115011,0.0172234227290515,1.03823513071333,0.193671533379185,-0.247859531920553
"THBS4",-0.129069389479971,-0.0139865206408237,-0.0385637054791989,0.334829254029038,0.314934307245834,0.175077090276474,2.5332843052518,-0.300810622978756,0.143485885492149,-0.0267037900812859,0.3440036181998
"THEM5",-0.0555982701262567,-0.0555982701262567,-0.0555982701262567,0.158350629238132,-0.0555982701262567,-0.0555982701262567,-0.0555982701262567,-0.0555982701262567,-0.0555982701262567,-0.0555982701262567,-0.0555982701262567
"THEMIS2",-0.242963844216239,-0.205555145879387,-0.228052419423407,-0.242963844216239,-0.242963844216239,-0.242963844216239,-0.111847522824281,-0.242963844216239,0.178829027735538,0.186593588667048,-0.242963844216239
"THSD4",-0.213111077495502,-0.107282307519854,0.137852421354008,-0.0274882285978815,-0.128821144581443,0.000878186905886555,-0.213111077495502,0.105948952484162,-0.138832145833187,-0.213111077495502,0.249194512770271
"THSD4-AS2",-0.0411321947675031,-0.0411321947675031,-0.0411321947675031,-0.0411321947675031,0.268617298826722,-0.0411321947675031,-0.0411321947675031,2.46915085392437,-0.0411321947675031,-0.0411321947675031,-0.0411321947675031
"THSD7A",0.652808617818402,0.727629044370274,0.834263217759013,0.176029317137442,0.249281008410535,1.13767890298059,1.03842065067946,0.183934605976293,1.82989832228477,0.792873533081247,0.144775010831571
"THY1",-0.111387325859486,-0.261228865874857,-0.292460889735203,-0.183657118381811,-0.474971703801989,-0.225373677986257,-0.599099771201175,-0.353953990015206,-0.307587621607509,-0.132306201843449,-0.409495684778367
"TIAM1",-0.331874809722701,-0.0524277050259784,-0.00402756145542518,-0.282668887419351,0.0268861647057647,-0.166596026590178,-0.375365445695619,0.331386857554665,-0.375365445695619,0.0542059218545983,-0.375365445695619
"TIGD5",-0.00587613749719729,-0.112669279519189,0.0497587772565362,0.0853401244971241,1.13753436255641,-0.143764874276002,-0.143764874276002,-0.143764874276002,-0.143764874276002,-0.143764874276002,-0.143764874276002
"TIGIT",0.19070557401702,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438,-0.066580070549438
"TIMP1",-1.1789213077733,-1.07810723413828,-1.05590579337854,-0.904896514246463,-0.936630301279807,-1.26541135764338,-1.00989499212533,-1.08854778576502,-1.05681473582357,-0.730719910022051,-0.355223682903561
"TIMP3",-0.602731099116743,-0.429065779069646,-0.533152134496579,-0.506593636299653,-0.537496466994273,-0.50303878448434,-0.380292749304363,-0.282384408056774,-0.469707101556547,-0.308387873319457,-0.464255951055024
"TK1",-0.268653979404343,-0.13340096999556,-0.0818855558157163,-0.229377099198068,-0.264813016519468,-0.292828560665384,-0.292828560665384,-0.256592360572554,-0.20622553228321,-0.292828560665384,-0.292828560665384
