"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"LRRC26",1.45353476250784,0.692379003361763,0.484763787362592,-0.0983093597626969,-0.0983093597626969,-0.0983093597626969
"LRRC32",-0.110776752258348,-0.254687605403206,-0.2329114955113,-0.200226549470277,-0.221803845994383,-0.212073419753774
"LRRC58",-0.418894208585666,0.0520534686633363,-0.0433476461545757,-0.173961663128395,0.0589309029527918,-0.160813996491475
"LRRTM3",-0.1712802472614,-0.1712802472614,0.0840524914516532,0.162048655226708,-0.1712802472614,0.0656281666944564
"LSP1",-0.310770912955855,-0.310770912955855,-0.271474076473222,-0.277827612411487,-0.253155476051176,-0.310770912955855
"LST1",-0.203481651723521,-0.280830504863277,-0.270332387477154,-0.189502483334803,-0.317933092932324,-0.302294378688402
"LTB",-0.132130811714504,-0.0428964720363933,-0.111479727291747,0.0625986350837176,-0.132130811714504,-0.132130811714504
"LTC4S",-0.282307051492463,-0.075496279168452,-0.139095745352102,0.107991296724416,-0.282307051492463,-0.234659148502193
"LTF",-0.104733368303505,-0.104733368303505,-0.104733368303505,-0.104733368303505,0.437382093750023,-0.0479730979708672
"LUM",-0.161013007983286,-0.426101283571154,-0.47613810280506,-0.437882721850447,-0.5022761925824,-0.470894996085144
"LURAP1L-AS1",-0.138894847834624,-0.138894847834624,0.056657574320687,0.254031998849825,-0.138894847834624,0.265372633491744
"LXN",0.203138654955309,0.30878150318104,0.250867473892698,0.282441666955197,0.185757011058692,-0.127532049525151
"LY6E",-0.226426805338577,-0.338709343334035,-0.35454242982596,-0.324405860040911,-0.157510499150263,-0.514853717309304
"LY6H",1.13836071645269,0.726680990876193,1.19860142324755,0.75515995442918,1.06039654758281,0.874626034151256
"LY86",-0.111221221718913,-0.244393177204994,-0.212768400474977,-0.185287838258961,-0.244393177204994,-0.196935223733865
"LY96",-0.25305998369953,-0.25305998369953,-0.215431679233979,-0.166575785364033,-0.230219798653728,-0.181487376434611
"LYL1",-0.155705341169974,-0.155705341169974,-0.127684997994852,-0.0961066986171901,-0.0557226683085254,-0.155705341169974
"LYN",-0.32354530376302,-0.0172805148893102,-0.277404787287162,-0.297868564880953,-0.23346993961594,-0.244646491978704
"LYPD1",0.0583688228841953,0.0647533583805601,-0.308962049937632,-0.349024845471928,-0.0763903379312204,-0.288847395499648
