"","timepoints4","timepoints5","timepoints6","timepoints7","timepoints8","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"ARHGAP6",-0.261399925702625,-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.278068407066622,-0.287198170388753,-0.274898333108913,-0.234713434325714
"ARHGDIB",-0.450369093486728,-0.624954313926836,-0.488444622818577,-0.235030018023887,-0.511775705410672,-0.468852691256034,-0.477561767034368,-0.479491684369085,-0.489591704381622,-0.526703209411765,-0.48179355928416,-0.573562503300641
"ARHGEF15",-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.0884272239229062,-0.105636744992635,-0.105636744992635
"ARID3A",-0.304041407769999,-0.304041407769999,-0.304041407769999,-0.304041407769999,0.040922952219812,-0.304041407769999,-0.304041407769999,0.145188604996369,-0.203050402583165,-0.0716964895300236,-0.111053067383406,0.0612625222035419
"ARL4C",-0.217383935442288,-0.287768720335388,-0.312730483263856,0.103972183026236,-0.109140622948685,-0.3629870671463,-0.20870994659118,-0.210770581012796,-0.0361817754894388,0.130065925503832,0.115682264312771,0.219382856667007
"ARL6IP1",-0.245043928161057,0.191273277890192,0.407953874035042,-0.114337401608579,0.453707630516389,-0.387746198111504,-0.610505501052019,0.152084680048343,-0.126625104191116,-0.330433987324515,0.330110975512085,0.0519586585892654
"ARPC1B",-0.542095263842094,-0.426323346310689,-0.104924091580493,0.147335297747723,-0.162406068845259,-0.522175087062857,-0.432989334812619,-0.44114807632958,-0.0668992602231031,0.0862134351458694,0.120633639386273,0.0247579483315731
"ARPP21",1.77419533998684,0.0184217197095394,0.68310356217221,1.98335881102834,1.37343635921024,2.14221817051687,0.284708413882596,1.01096277198313,0.831584716701589,0.706526589091833,0.545218037657657,-0.110922686485748
"ART3",-0.0937316070643586,-0.0803918184478462,-0.170168787819178,-0.170168787819178,-0.170168787819178,-0.131534563044532,-0.131253654757214,-0.170168787819178,-0.112094837988509,-0.1449007690129,-0.170168787819178,-0.170168787819178
"ARX",-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,0.668636377736007,-0.0503114869579839,-0.0503114869579839,0.0180096591085363,-0.0503114869579839,-0.0503114869579839
"ASB2",-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,0.0101665655313297,-0.0923075685616763,-0.0923075685616763,-0.0501332798338376
"ASB4",0.563785339660144,0.582013482989744,0.523676975683897,-0.0420366875246235,0.580643703358226,-0.0583294413303886,0.0810363015214368,0.221276606875405,0.894126651888701,1.58727357542715,1.40017788102176,0.423134129982949
"ASCL1",0.685675518914933,0.369063560072628,1.41073714705814,0.272905226239544,0.549716216645012,0.289235286334671,-0.208783245223413,0.173480456807543,0.218764526416314,-0.068130431573126,0.0389098663102733,-0.042478481323601
"ASCL4",-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715
"ASF1B",0.0814055278617245,-0.28251044993159,-0.179749115251143,-0.181437171834712,-0.28251044993159,-0.0965675728447423,-0.266035400765405,-0.28251044993159,-0.0560169687682828,-0.249438460119112,-0.231062224472248,-0.265122640312958
"ASGR2",-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0293093586498037,-0.0963472837277035,-0.0963472837277035
"ASPM",-0.238812486777428,-0.231671420982432,-0.238812486777428,-0.238812486777428,-0.238812486777428,-0.238812486777428,-0.139047154577205,0.0304277212137382,-0.233769943026736,-0.137713726436126,-0.224515968711069,-0.238812486777428
"ASPN",-0.0533216831878391,-0.303004235794145,-0.303004235794145,-0.232709963676047,-0.223090677793075,-0.303004235794145,-0.12837608103314,-0.303004235794145,-0.254750861816522,-0.243609482536197,-0.28415861760156,-0.267973686067274
"ATAD2",-0.359217266893205,-0.0216840245397243,-0.463753708183384,-0.463753708183384,-0.0826612784792367,0.0434021871972923,-0.262608759488598,-0.463753708183384,-0.254668986603255,-0.245995187872502,-0.444711723992022,-0.297565623872167
"ATAD5",0.196857990960387,-0.327997701084823,-0.327997701084823,0.309963039711065,0.0337728071301965,-0.0255989186101398,0.0732967354436418,0.0808087875745187,-0.0362899422302152,-0.301578867108465,-0.0895215600821633,-0.209213554744421
"ATF3",-0.49648503592002,-0.78014862449303,-0.60409281050017,-0.136876368421226,-0.581436344590028,-0.649986117857493,-0.152012766127325,-0.178809502409203,-0.328244432165785,0.297366694913446,-0.538090112834234,0.15214244373451
"ATOH7",-0.00774670224351301,-0.0117282406345356,-0.205392155903182,-0.205392155903182,-0.205392155903182,0.28044493124278,-0.154777666606589,-0.205392155903182,-0.125288740404907,-0.191576757665757,0.35652649268073,-0.172467146204715
"ATP5MGL",-0.0986103029060446,-0.0986103029060446,0.242041315816181,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446,0.262002316102619,0.299504200217405,0.140607354457448,0.0416556597249192,-0.0986103029060446,-0.0986103029060446
"DMAC2L",0.403278450124232,0.341668577820301,0.809205347272667,0.302266356787497,0.218341757404152,0.239058468547385,0.000702717566841939,-0.206909704083471,0.26116911008683,0.00372590323347645,-0.0322697740671219,0.178762108866357
"ATP6V1B1",-0.205208254646486,-0.210435498162237,-0.275750847955054,-0.275750847955054,-0.275750847955054,-0.275750847955054,-0.275750847955054,-0.275750847955054,-0.209314372496244,-0.197362547551106,-0.265962786876376,-0.134440602478004
"ATXN3",0.0643633761239352,-0.0181355924768436,0.523741001061212,0.584239363084519,0.272888205966285,0.314599286082165,-0.453720562244004,-0.241601274608174,-0.254529533062848,-0.0134620902969493,-0.075469899907703,-0.304081078478102
"ATXN8OS",0.553365526013294,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602
"AURKA",-0.189027013962816,-0.249682033159262,-0.249682033159262,-0.249682033159262,-0.249682033159262,-0.0468316804081817,-0.191524592043037,-0.249682033159262,-0.157967625147981,0.0480914468142506,-0.249682033159262,0.120299958838277
"AURKB",-0.147299350628253,-0.285648913874698,-0.312752528753599,-0.312752528753599,-0.265625321977264,-0.312752528753599,-0.136227240187951,-0.312752528753599,-0.281629149511835,-0.201985503446327,-0.301247624869879,-0.262766174195361
"AVPR2",-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728
