"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"CKAP2L",2.13024005032907,1.867389855539,2.13823661899116,3.98569610597981,2.86755658278283,1.86983164674501,5.11725326488578,6.05480046112636
"CKAP5",0.605862055360977,0.740118250697729,0.948463207941143,1.36354032947655,0.683914928642334,0.109700535255729,2.62508747794222,1.54265212929477
"CKB",0.238622629578838,0.35158686666385,0.452082566760035,0.152752580477149,0.368639068899973,1.41318987814889,0.668975657919064,0.766418319518342
"CKS1B",2.76487209484392,2.11553275800487,2.13243774584304,2.24950538848588,2.64498510144578,1.55233675500364,2.37671125651787,3.07663466592678
"CKS2",1.94837749202876,1.53298456044373,1.68487724800177,2.70467647595042,1.81167014737176,1.44611298352623,2.55785762863845,4.15018065910581
"CLCN5",0.153233150295064,0.696816564127805,0.0274456029408292,-0.145551143276105,0.0583158620406047,0.655882694242262,0.153896160171164,-0.329331392972927
"CLDN10",-0.110694306786923,-0.110694306786923,-0.110694306786923,0.134675362819619,-0.110694306786923,2.48712463713436,-0.110694306786923,-0.110694306786923
"CLDN2",-0.0582984193460633,-0.0582984193460633,-0.0582984193460633,-0.0582984193460633,-0.0582984193460633,-0.0582984193460633,-0.0582984193460633,-0.0582984193460633
"CLDN20",-0.026852783379168,-0.026852783379168,-0.026852783379168,-0.026852783379168,-0.026852783379168,-0.026852783379168,-0.026852783379168,-0.026852783379168
"CLDN25",-0.0432483456663997,-0.0432483456663997,-0.0432483456663997,-0.0432483456663997,-0.0432483456663997,-0.0432483456663997,-0.0432483456663997,-0.0432483456663997
"CLDN4",1.32583337397025,1.10199299459364,1.62386430924601,0.656139027800817,-0.0816429624544014,0.490214499866193,-0.3642593991908,1.08868429814159
"CLDN5",-0.0553567049621048,-0.178589547157581,-0.133670017143945,-0.198104664175833,-0.309455958835411,-0.309455958835411,-0.278866139354439,-0.309455958835411
"CLDN7",0.622625564846642,0.20770348802924,-0.120298687450139,0.258809870081526,-0.40977694708424,0.380926666422313,0.788933586821657,0.512696213351059
"CLEC10A",-0.169859775223941,-0.160105635498971,0.0554203254070605,-0.169859775223941,-0.169859775223941,0.306101496294758,-0.137176569267532,-0.0167123742337517
"CLEC12A",-0.119265628557714,-0.119265628557714,-0.119265628557714,-0.119265628557714,-0.119265628557714,-0.119265628557714,-0.119265628557714,-0.119265628557714
"CLEC14A",-0.268033165635576,-0.299143917535024,-0.216177259929305,-0.221688743765589,-0.368332401552378,-0.368332401552378,-0.352098446546143,-0.368332401552378
"CLEC1B",-0.056837449131774,-0.056837449131774,-0.056837449131774,-0.056837449131774,-0.056837449131774,-0.056837449131774,-0.056837449131774,-0.056837449131774
"CLEC2B",-0.285148509410627,-0.289262376801084,-0.235493597174128,-0.289262376801084,-0.289262376801084,-0.289262376801084,-0.289262376801084,-0.289262376801084
"CLEC3B",-0.170148097048087,-0.178285264710892,-0.0699975221738981,-0.0810428763041935,-0.178285264710892,-0.178285264710892,-0.178285264710892,-0.178285264710892
"CLEC4A",-0.209913757579212,-0.200693467567808,-0.171059550039124,-0.189925682435148,-0.153576028030216,0.355587458234006,-0.209913757579212,-0.209913757579212
"CLEC4E",-0.103779309099186,-0.103779309099186,-0.103779309099186,-0.103779309099186,-0.103779309099186,-0.103779309099186,-0.103779309099186,-0.103779309099186
"CLEC4F",-0.0722549453995149,-0.0309696458886181,-0.0722549453995149,-0.0722549453995149,-0.0722549453995149,-0.0722549453995149,-0.0722549453995149,-0.0722549453995149
"CLEC5A",-0.0791330723349052,-0.0275799469919345,-0.0791330723349052,-0.0791330723349052,-0.0791330723349052,-0.0791330723349052,-0.0791330723349052,-0.0791330723349052
"CLEC9A",0.299877259254062,0.271169077743665,-0.0891579934510141,-0.0891579934510141,-0.0891579934510141,-0.0891579934510141,-0.0891579934510141,-0.0891579934510141
"CLECL1",-0.137443198776343,-0.137443198776343,-0.137443198776343,-0.137443198776343,-0.137443198776343,-0.137443198776343,-0.137443198776343,-0.137443198776343
"CLIC2",-0.128882108083299,-0.145030478944375,-0.188534307120898,-0.188534307120898,-0.188534307120898,-0.188534307120898,-0.188534307120898,-0.188534307120898
"CLIC3",-0.155039276075291,-0.155039276075291,-0.155039276075291,-0.110569752676117,-0.155039276075291,-0.155039276075291,-0.0654335245898354,-0.155039276075291
"CLIC4",0.473232608270951,0.295536590432278,-0.110170556607794,0.0351626716050246,0.448308936299597,0.377527738695294,0.735134478103701,0.135964787718102
"CLPSL2",0.192530627884164,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095
"CLSPN",1.504246638597,1.9759792561305,2.30191323905248,2.4241428520565,2.99614225300903,3.75658261727866,0.890697056157482,-0.280041857393485
"CLU",-0.114997746093115,-0.325497215683654,-0.429845493126795,-0.160848499579376,-0.490957926800001,-0.494449906237658,-0.113058984775725,0.187883584059107
"CMTM2",-0.0509225321072241,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044
