"UNIPROT","SYMBOL","ENSEMBL","ENTREZID","GENETYPE"
"Q9Y237","PIN4","ENSG00000102309","5303","protein-coding"
"O14654","IRS4","ENSG00000133124","8471","protein-coding"
"Q5T200","ZC3H13","ENSG00000123200","23091","protein-coding"
"Q9UKJ3","GPATCH8","ENSG00000186566","23131","protein-coding"
"Q9BWP8","COLEC11","ENSG00000118004","78989","protein-coding"
"P02747","C1QC","ENSG00000159189","714","protein-coding"
"P31277","HOXD11","ENSG00000128713","3237","protein-coding"
"Q96PZ7","CSMD1","ENSG00000183117","64478","protein-coding"
"Q1KMD3","HNRNPUL2","ENSG00000214753","221092","protein-coding"
"O43719","HTATSF1","ENSG00000102241","27336","protein-coding"
"Q96QZ7","MAGI1","ENSG00000151276","9223","protein-coding"
"Q96QZ7","MAGI1","ENSG00000282956","9223","protein-coding"
"Q7L2J0","MEPCE","ENSG00000146834","56257","protein-coding"
"Q9NQI0","DDX4","ENSG00000152670","54514","protein-coding"
"Q99715","COL12A1","ENSG00000111799","1303","protein-coding"
"Q6ZMI3","GLDN","ENSG00000186417","342035","protein-coding"
"Q8IVV2","LOXHD1","ENSG00000167210","125336","protein-coding"
"Q8WVC0","LEO1","ENSG00000166477","123169","protein-coding"
"Q86Z23","C1QL4","ENSG00000186897","338761","protein-coding"
"Q9UKY7","CDV3","ENSG00000091527","55573","protein-coding"
"Q9Y6Z7","COLEC10","ENSG00000184374","10584","protein-coding"
"P02746","C1QB","ENSG00000173369","713","protein-coding"
"A6NDB9","PALM3","ENSG00000187867","342979","protein-coding"
"A6NDB9","PALM3","ENSG00000288318","342979","protein-coding"
"P31260","HOXA10","ENSG00000253293","3206","protein-coding"
"Q9BXJ4","C1QTNF3","ENSG00000082196","114899","protein-coding"
"P46100","ATRX","ENSG00000085224","546","protein-coding"
"O14647","CHD2","ENSG00000173575","1106","protein-coding"
"Q9ULD9","ZNF608","ENSG00000168916","57507","protein-coding"
"O43516","WIPF1","ENSG00000115935","7456","protein-coding"
"Q7Z6E9","RBBP6","ENSG00000122257","5930","protein-coding"
"Q9H0L4","CSTF2T","ENSG00000177613","23283","protein-coding"
"Q32P44","EML3","ENSG00000149499","256364","protein-coding"
