"","pearson","gene","cluster"
"266",0.96,"CYTOR",7
"586",0.96,"LMO2",7
"1018",0.95,"CCL2",7
"4110",0.95,"GDF10",7
"775",0.95,"PDGFB",7
"855",0.95,"SCARNA9L",7
"1004",0.95,"UBD",7
"819",0.94,"CBLN1",7
"3110",0.93,"E2F7",7
"675",0.93,"MND1",7
"406",0.92,"GBP2",7
"446",0.91,"GPR171",7
"845",0.91,"RILPL2",7
"954",0.91,"SYNPO2",7
"526",0.9,"IFI30",7
"685",0.9,"MRC1",7
"695",0.9,"MX1",7
"934",0.9,"STMN2",7
"1415",0.89,"CD300LB",7
"1515",0.89,"CD36",7
"396",0.89,"GBP1",7
"556",0.89,"ITGB3BP",7
"795",0.89,"PIK3R5",7
"296",0.88,"DOCK8-AS1",7
"636",0.88,"MEF2C",7
"919",0.88,"SLC25A37",7
"805",0.87,"POU1F1",7
"875",0.87,"SELL",7
"725",0.86,"NKG7",7
"456",0.85,"GPR34",7
"496",0.85,"HJURP",7
"178",0.84,"ABI3",7
"246",0.83,"CYB561",7
"286",0.83,"DLGAP5",7
"606",0.82,"LRG1",7
"6110",0.82,"LTB",7
"894",0.82,"SLC16A12",7
"186",0.81,"CDKN3",7
"336",0.81,"ERICH6B",7
"346",0.81,"FAM178B",7
"665",0.81,"MMRN1",7
"1019",0.8,"WDR76",7
"486",0.79,"HCK",7
"546",0.79,"IL6",7
"626",0.79,"MAB21L1",7
"576",0.78,"KLK12",7
"755",0.78,"PCNA",7
"306",0.77,"DOK2",7
"964",0.75,"THBS2",7
"1024",0.75,"XPO7",7
"196",0.74,"CILP",7
"206",0.74,"CLPSL2",7
"436",0.74,"GNG8",7
"646",0.74,"MGP",7
"1614",0.73,"CD52",7
"236",0.72,"CXCL2",7
"825",0.72,"PTPRC",7
"974",0.72,"TLR4",7
"1218",0.71,"CD14",7
"420",0.7,"APOC1",7
"179",0.7,"CD68",7
"466",0.7,"GRIK1-AS1",7
"994",0.7,"TSC22D1-AS1",7
"620",0.68,"BATF",7
"735",0.68,"NUDT4",7
"320",0.67,"APBB1IP",7
"376",0.67,"FXYD3",7
"476",0.67,"H3C4",7
"655",0.67,"MIAT",7
"7110",0.67,"NGFR",7
"5110",0.66,"HSPA6",7
"226",0.65,"CXCL13",7
"326",0.65,"EGFL6",7
"426",0.65,"GINS2",7
"566",0.65,"KLF1",7
"276",0.64,"DCLK1",7
"366",0.64,"FMO1",7
"924",0.59,"STC1",7
"356",0.58,"FCGR2A",7
"1118",0.57,"CCN1",7
"520",0.56,"ASCL1",7
"386",0.54,"GADD45B",7
"596",0.54,"LMX1A",7
"8110",0.54,"PRDX4",7
"765",0.48,"PCOLCE2",7
"427",0.99,"AGRP",8
"527",0.99,"ALDH3A1",8
"627",0.99,"ALKAL1",8
"720",0.99,"ANK1",8
"1020",0.99,"ARHGEF15",8
"1615",0.99,"BNIP5",8
"1710",0.99,"BPIFC",8
"2111",0.99,"CALCA",8
"237",0.99,"CD244",8
"367",0.99,"DLX6-AS1",8
"397",0.99,"DPEP2",8
"447",0.99,"EOMES",8
"457",0.99,"EREG",8
"5111",0.99,"FNDC1",8
"528",0.99,"GABBR2",8
"577",0.99,"HAMP",8
"628",0.99,"IFNG",8
"686",0.99,"ISM2",8
"706",0.99,"KCNK17",8
"736",0.99,"KRT25",8
"746",0.99,"KRTAP4-6",8
"756",0.99,"L3MBTL4-AS1",8
"8111",0.99,"LINC02872",8
"10110",0.99,"PRECSIT",8
"1025",0.99,"PRR7-AS1",8
"1035",0.99,"PSCA",8
"1124",0.99,"S100P",8
"1134",0.99,"S1PR4",8
"1184",0.99,"SLAMF7",8
"1263",0.99,"TEX14",8
"1323",0.99,"UNC5B-AS1",8
"1352",0.99,"VNN1",8
"1372",0.99,"VSTM2A",8
"1382",0.99,"VSTM2B",8
"1254",0.98,"TBXAS1",8
"1283",0.98,"TMEM52B",8
"247",0.97,"CDA",8
"437",0.97,"EGR4",8
"1064",0.97,"RAMP1",8
"327",0.96,"ADGRL4",8
"337",0.96,"CXCL8",8
"377",0.96,"DMRT2",8
"4111",0.96,"EBI3",8
"497",0.96,"FEV",8
"537",0.96,"GLIS3-AS1",8
"1273",0.96,"TFF3",8
"407",0.95,"DTX1",8
"507",0.95,"FLACC1",8
"656",0.95,"IL13RA2",8
